video_url	page_url
https://www.pexels.com/pt-br/videos/	https://www.pexels.com/videos/
https://www.pexels.com/assets/static/images/meta/safari-pinned-tab.svg	https://www.pexels.com/videos/
https://accounts.google.com/gsi/style	https://www.pexels.com/videos/
https://www.pexels.com/join-contributor/?redirect_to=%2Fupload%2F&amp;onboarding=skipped	https://www.pexels.com/videos/
https://www.pexels.com/onboarding/	https://www.pexels.com/videos/
https://www.pexels.com/search/videos/logo/	https://www.pexels.com/videos/
https://www.pexels.com/search/videos/flower%20garden/	https://www.pexels.com/videos/
https://www.pexels.com/leaderboard/	https://www.pexels.com/videos/
https://www.pexels.com/video/drone-footage-of-people-on-a-beach-in-brazil-8493534/	https://www.pexels.com/videos/
https://www.pexels.com/videos/#InvertedVideoIcon-a263f1066b53374fb7ee4f4fa699a697	https://www.pexels.com/videos/
https://www.pexels.com/video/a-couple-walking-on-a-hanging-bridge-9871244/	https://www.pexels.com/videos/
https://www.pexels.com/video/beautiful-waterfalls-in-mountain-forest-19181145/	https://www.pexels.com/videos/
https://www.pexels.com/video/praia-da-joaquina-drone-footage-15713340/	https://www.pexels.com/videos/
https://www.pexels.com/video/sunset-driving-15289534/	https://www.pexels.com/videos/
https://www.pexels.com/video/decoration-of-christmas-cookies-5976651/	https://www.pexels.com/videos/
https://www.pexels.com/video/golcuk-shore-19000007/	https://www.pexels.com/videos/
https://www.pexels.com/video/wood-vacation-art-water-19063630/	https://www.pexels.com/videos/
https://www.pexels.com/video/golden-wheat-field-at-sunset-19216559/	https://www.pexels.com/videos/
https://www.pexels.com/video/bread-wood-landscape-sunset-19120716/	https://www.pexels.com/videos/
https://www.pexels.com/video/deep-dive-underwater-17809337/	https://www.pexels.com/videos/
https://www.pexels.com/video/wood-light-landscape-garden-19311450/	https://www.pexels.com/videos/
https://www.pexels.com/video/sea-people-water-space-17838421/	https://www.pexels.com/videos/
https://www.pexels.com/video/meke-krater-golu-19212044/	https://www.pexels.com/videos/
https://www.pexels.com/video/bridge-that-connects-two-islands-5903749/	https://www.pexels.com/videos/
https://www.pexels.com/video/aci-gol-19027384/	https://www.pexels.com/videos/
https://www.pexels.com/video/sea-landscape-beach-water-15462304/	https://www.pexels.com/videos/
https://www.pexels.com/video/drone-shot-of-cortina-ski-resort-7064870/	https://www.pexels.com/videos/
https://www.pexels.com/video/decorating-ginger-house-5791992/	https://www.pexels.com/videos/
https://www.pexels.com/video/chicago-19193281/	https://www.pexels.com/videos/
https://www.pexels.com/video/sea-bird-beach-water-19057687/	https://www.pexels.com/videos/
https://www.pexels.com/video/mardin-de-gun-dogarken-19293155/	https://www.pexels.com/videos/
https://www.pexels.com/video/water-and-ice-19142790/	https://www.pexels.com/videos/
https://www.pexels.com/video/brunch-19281576/	https://www.pexels.com/videos/
https://cookiepedia.co.uk/giving-consent-to-cookies	https://www.pexels.com/videos/
https://www.onetrust.com/products/cookie-consent/	https://www.pexels.com/videos/
https://connect.facebook.net/en_US/fbevents.js	https://www.pexels.com/videos/
https://www.googletagmanager.com/gtag/js?id=G-8JE65Q40S6&amp;l=dataLayer&amp;cx=c	https://www.pexels.com/videos/
https://www.google-analytics.com/gtm/js?id=GTM-KM42RJV&amp;cid=1878733768.1704442770	https://www.pexels.com/videos/
https://www.googletagmanager.com/gtm.js?id=GTM-M7FP7ZQ&amp;gtm_auth=&amp;gtm_preview=&amp;gtm_cookies_win=x	https://www.pexels.com/videos/
https://www.googletagmanager.com/gtm.js?id=	https://www.pexels.com/videos/
https://cdn-au.onetrust.com/scripttemplates/otSDKStub.js	https://www.pexels.com/videos/
https://cdn-au.onetrust.com/scripttemplates/202301.1.0/otBannerSdk.js	https://www.pexels.com/videos/
https://www.googletagmanager.com/ns.html?id=GTM-M7FP7ZQ&gtm_auth=&gtm_preview=&gtm_cookies_win=x	https://www.pexels.com/videos/
https://static.pexels.com/lib/videos/free-videos.mp4	https://www.pexels.com/videos/
https://static.pexels.com/lib/videos/free-videos.webm	https://www.pexels.com/videos/
https://images.pexels.com/videos/8493534/pexels-photo-8493534.jpeg?auto=compress&amp;cs=tinysrgb&amp;dpr=1&amp;w=500	https://www.pexels.com/videos/
https://player.vimeo.com/external/567750841.sd.mp4?s=1c68c79a6579b2c3e319f0e833279f9dc9f543bf&amp;profile_id=164&amp;oauth2_token_id=57447761	https://www.pexels.com/videos/
https://images.pexels.com/videos/19396092/cruise-ships-drone-footage-drone-photography-drone-shot-19396092.jpeg?auto=compress&amp;cs=tinysrgb&amp;dpr=1&amp;w=500	https://www.pexels.com/videos/
https://player.vimeo.com/progressive_redirect/playback/891643300/rendition/540p/file.mp4?loc=external&amp;oauth2_token_id=1747418641&amp;signature=eafaf8fbf65e988303fc860a09a252e0a89a35c990b1c12cfcd9e85df7949cee	https://www.pexels.com/videos/
https://images.pexels.com/videos/19247664/alpine-alps-city-cross-country-ski-19247664.jpeg?auto=compress&amp;cs=tinysrgb&amp;dpr=1&amp;w=500	https://www.pexels.com/videos/
https://player.vimeo.com/progressive_redirect/playback/887957611/rendition/360p/file.mp4?loc=external&amp;oauth2_token_id=1747418641&amp;signature=d921bd80cac1b6ebe16bb2481b9a5429da7fa879958658fca8f1361b9941e022	https://www.pexels.com/videos/
